easting,northing,Name,Core,sample,transect,strike,dip,Rake1,Strike2,Dip2,Rake2,Strike3,Dip3,Rake3,Strike4,Dip4,Rake4,X1,X2,X3,X4,qtz,picture,notes,xz_strike,xz_dip,yz_strike,yz_dip
120.3298913,-21.0663172,AME16_037,0,1,0,333,77,64,,,,,,,,,,,,,,,,strongly_foliated/lineated_schist,303,65,88,29
120.3280983,-21.06643849,AME16_038,0,1,0,333,61,N/A,,,,,,,,,,,,,,,,“mixed_zone”:_pods_of_granite_appear_to_align_as_boudins_in_schist._,,,,
120.3269432,-21.06587037,AME16_039,0,1,0,166,73,145,163,82,,321,84,,,,,,,,,stretched,,"""mixed_zone”_much_more_granite_than_greenstone,_but_still_has_amphibolite_dikes._Strong_foliation",261,38,64,57
120.3232005,-21.06582871,AME16_040,0,1,0,146,82,N/A,,,,,,,,,,,,,,blebby,,,,,,
120.3451854,-21.08186102,AME16_041,1,0,0,180,69,N/A,174,81,,,,,,,,0.16,0.10,0.09,0.14,stretched,,,,,,
120.3637167,-21.11297356,AME16_042,1,0,0,149,77,N/A,140,55,,,,,,,,0.08,0.15,0.08,0.10,blebby,,,,,,
120.3781113,-21.15298273,AME16_043,1,0,0,149,80,N/A,305,83,,154,74,,,,,0.05,0.04,0.03,0.02,blebby,,,,,,
120.3723339,-21.14521698,AME16_044,0,1,0,1,39,110,6,50,109,,,,,,,,,,,,phone+cam,dome-up_SOS_in_qty_vein,107,78,334,54
120.3670802,-21.14446546,AME16_047,0,1,0,316,74,140  (lab override),,,,,,,,,,,,,,,phone,felsic_boudin_in_granite—neck_is_schist._Dome_up_SOS,122,55,334,40
120.3668278,-21.14453654,AME16_048,0,1,0,194,77,29,130,79,,192,74,,202,65,,,,,,stretched,,,82,32,291,62
120.3741211,-21.14486578,AME16_049,0,1,0,150,67,32,,,,,,,,,,,,,,,,Very_hard_to_pick_out_foliation_in_highly_fractured_schist/chert,28,39,286,61
120.3770555,-21.14844636,AME16_050,0,1,0,320,71,47,,,,,,,,,,,,,,,,Reminiscent_of_zone_of_sinking_schist._L-S_tectonic_foliation_is_strong._,327,50,69,46
120.3707854,-21.17232179,AME16_051,1,0,0,312,70,N/A,310,80,,330,72,,,,,0.05,0.04,0.05,0.03,blebby,,,,,,
120.3522314,-21.19346171,AME16_052,1,0,0,201,77,N/A,223,83,,,,,,,,0.77,0.59,0.62,0.91,,,,,,,
120.3194203,-21.19894506,AME16_054,1,0,0,162,71,N/A,186,76,,154,81,,,,,0.25,0.22,0.21,0.28,,,,,,,
119.9547397,-21.07691671,AME16_055,1,0,0,245,77,N/A,233,65,,,,,,,,1.53,0.66,0.92,1.20,stretched,,some_compositional_banding._pegmatites_common.,,,,
119.9751408,-21.05743415,AME16_056,1,0,0,276,70,N/A,280,78,,,,,,,,2.01,2.43,0.89,1.11,stretched,,gneiss,,,,
119.9982477,-21.02645212,AME16_057,1,0,0,112,69,N/A,140,70,,,,,,,,0.17,0.23,0.18,0.17,,,,,,,
120.1133369,-20.88986666,AME16_059,0,1,0,274,34,N/A,,,,,,,,,,,,,,,,"chert_layer_in_greenstone,_very_weak_foliation",,,,
120.1052159,-20.89688181,AME16_061,0,1,0,264,82,52,259,76,55,,,,,,,,,,,,,small_outcrop_of_schist_with_some_chert_nodules._May_show_sinistral_SOS,12,52,4,39
120.1068408,-20.89889137,AME16_062,0,1,0,92,84,N/A,270,72,,,,,,,,,,,,,,a+b_samples:_b_may_show_dome-up_SOS,,,,
120.1045767,-20.90175647,AME16_063,0,0,0,93,65,N/A,114,45,,,,,,,,,,,,,,,,,,
120.0994753,-20.91275252,AME16_064,0,1,0,251,78,N/A,243,76,,,,,,,,,,,,stretched_,,,,,,
119.8572096,-21.10504135,AME16_065,0,1,0,180,68,82,174,69,80,,,,,,,,,,,stretched,,strongly_foliated_granitoid,87,83,339,23
119.8715738,-21.10151164,AME16_066,0,1,0,174,73,84,250,64,,168,58,,,,,,,,,stretched,,,82,84,334,18
120.0675191,-21.42668364,AME16_067,0,1,0,90,69,87,91,68,92,,,,,,,,,,,,cam,highly_lineated_gneiss_with_strong_compositional_banding_(weathered),359,87,278,21
120.0672447,-21.4277618,AME16_068,0,1,0,96,64,150,67,55,113,,,,,,,,,,,,,a+_b_samples:_SOS_is_dome_obliquely-up_chert_bed_highly_sheared_w_isoclinal_folds_and_bodied_chert_among_more_schist_layers,223,39,352,63
120.0755301,-21.43256949,AME16_069,0,1,0,105,82,91,124,67,70,115,61,75,,,,,,,,,,L-S_tectonite_in_greenstones,195,89,292,8
119.8957157,-20.99242989,AME16_070,0,1,0,238,59,44,230,78,43,,,,,,,,,,,,,may_have_SOS???_amphibolite_outcrop,60,52,354,53
119.8976192,-20.99386873,AME16_071A,0,1,0,237,59,47,,,,,,,,,,,,,,,,,59,54,356,51
119.8977998,-20.99396537,AME16_071B,0,1,0,228,59,64,,,,,,,,,,,,,,,,,56,68,5,40
119.8984756,-20.99442294,AME16_072,0,1,0,240,55,58,245,59,64,,,,,,,,,,,,,"highly_sheared_“mixed_zone”:_foliation-parallel_repeated_sections_of_granite/amphibolite._5-7_m_thick_amphibolite,_0.5-2_m_thick_granitoids._Granitoids_may_show_SOS_dome_down._",50,64,13,46
119.8989237,-20.99515988,AME16_073,0,1,0,241,61,52,,,,,,,,,,,,,,stretched,,beginning_of_large_granite_field_extending_to_the_SE,50,57,3,46
119.9003344,-20.9985356,AME16_074,0,1,0,242,66,50,235,64,,,,,,,,,,,,stretched,,,47,54,358,46
119.8848184,-21.16071981,AME16_075,1,0,0,175,48,N/A,170,55,,,,,,,,0.05,0.09,0.02,0.09,stretched,,strongly_banded_gneiss,,,,
119.9380107,-21.18015879,AME16_076,1,0,0,236,64,N/A,226,70,,,,,,,,0.05,0.06,0.04,0.06,stretched,,,,,,
119.9701867,-21.18462567,AME16_077,1,0,0,230,74,N/A,231,69,,,,,,,,0.37,0.18,0.10,0.25,stretched,,mildly_banded_gneiss,,,,
119.9979207,-21.19369623,AME16_078,1,0,0,226,57,N/A,218,64,,,,,,,,0.03,0.03,0.02,0.05,stretched,,banded_gneiss,,,,
120.0536904,-21.1845649,AME16_079,1,0,0,278,40,N/A,291,52,,,,,,,,0.07,0.17,0.12,0.05,stretched,,gneiss,,,,
120.0843597,-21.19370612,AME16_080,1,0,0,325,47,N/A,330,57,130,104,61,,,,,3.93,2.85,4.30,4.53,stretched,,banded_gneiss,,,,
120.1142635,-21.19235848,AME16_081,1,0,0,309,81,N/A,290,75,,,,,,,,2.40,1.83,0.53,1.54,stretched,,gneiss,,,,
120.1431435,-21.19365323,AME16_082,1,0,0,356,72,N/A,345,54,,,,,,,,0.55,1.15,1.50,1.21,stretched,,banded_gneiss,,,,
120.1693609,-21.19967597,AME16_083,1,0,0,108,65,N/A,123,58,,,,,,,,1.14,0.46,0.44,1.08,stretched,,granitoid,,,,
120.2233334,-21.20376164,AME16_084,1,0,0,309,66,N/A,304,59,,,,,,,,0.00,0.02,0.01,0.02,stretched,,granitoid_cut_by_pegmatite_and_possible_fine-grained_dike,,,,
120.2584468,-21.2110834,AME16_085,1,0,0,303,73,N/A,301,79,,,,,,,,0.78,0.17,0.31,0.55,stretched,,,,,,
120.2817369,-21.21355615,AME16_086,1,0,0,118,52,N/A,103,62,,,,,,,,1.29,1.52,1.07,1.27,blebby,,,,,,
120.3104082,-21.21994617,AME16_087,1,0,0,195,72,N/A,53,66,,192,84,,181,65,,0.93,0.53,1.02,0.46,stretched,,,,,,
120.341015,-21.21645302,AME16_088,1,0,0,351,76,N/A,342,67,,,,,,,,0.52,0.68,0.82,0.65,stretched,,,,,,
119.9488897,-21.21032844,AME16_089,1,0,0,250,68,N/A,262,58,,225,79,,,,,6.11,3.24,2.76,1.70,stretched,,deformed_granitoid_with_aplite_and_pegmatites,,,,
119.9779366,-21.25228347,AME16_090,1,0,0,82,61,N/A,90,72,,,,,,,,3.69,3.52,2.78,5.14,,,foliation_defined_by_biotite,,,,
