Field,Moment
4.34E-01,8.83E-05
4.37E-01,8.73E-05
4.40E-01,8.69E-05
4.43E-01,8.68E-05
4.46E-01,8.70E-05
4.49E-01,8.72E-05
4.52E-01,8.74E-05
4.55E-01,8.73E-05
4.58E-01,8.74E-05
4.61E-01,8.75E-05
4.64E-01,8.75E-05
4.67E-01,8.76E-05
4.70E-01,8.76E-05
4.73E-01,8.76E-05
4.76E-01,8.73E-05
4.79E-01,8.79E-05
4.82E-01,8.77E-05
4.85E-01,8.77E-05
4.88E-01,8.78E-05
4.91E-01,8.78E-05
4.94E-01,8.80E-05
4.97E-01,8.78E-05
5.00E-01,8.79E-05
5.01E-01,8.77E-05
