Field,Moment,FieldParasub,MomentParasub
1.67E-01,6.17E-06,1.67E-01,4.92E-06
1.64E-01,6.11E-06,1.64E-01,4.87E-06
1.61E-01,6.04E-06,1.61E-01,4.83E-06
1.58E-01,5.96E-06,1.58E-01,4.77E-06
1.55E-01,5.89E-06,1.55E-01,4.72E-06
1.52E-01,5.82E-06,1.52E-01,4.67E-06
1.49E-01,5.73E-06,1.49E-01,4.61E-06
1.46E-01,5.66E-06,1.46E-01,4.56E-06
1.43E-01,5.57E-06,1.43E-01,4.49E-06
1.40E-01,5.50E-06,1.40E-01,4.44E-06
1.37E-01,5.41E-06,1.37E-01,4.38E-06
1.34E-01,5.32E-06,1.34E-01,4.32E-06
1.31E-01,5.26E-06,1.31E-01,4.27E-06
1.28E-01,5.16E-06,1.28E-01,4.20E-06
1.25E-01,5.05E-06,1.25E-01,4.11E-06
1.22E-01,4.97E-06,1.22E-01,4.05E-06
1.19E-01,4.89E-06,1.19E-01,4.00E-06
1.16E-01,4.79E-06,1.16E-01,3.92E-06
1.13E-01,4.69E-06,1.13E-01,3.84E-06
1.10E-01,4.61E-06,1.10E-01,3.78E-06
1.07E-01,4.50E-06,1.07E-01,3.70E-06
1.04E-01,4.41E-06,1.04E-01,3.63E-06
1.01E-01,4.30E-06,1.01E-01,3.54E-06
9.81E-02,4.21E-06,9.81E-02,3.48E-06
9.51E-02,4.10E-06,9.51E-02,3.39E-06
9.21E-02,4.00E-06,9.21E-02,3.30E-06
8.91E-02,3.87E-06,8.91E-02,3.20E-06
8.61E-02,3.78E-06,8.61E-02,3.14E-06
8.31E-02,3.68E-06,8.31E-02,3.06E-06
8.01E-02,3.57E-06,8.01E-02,2.97E-06
7.71E-02,3.47E-06,7.71E-02,2.89E-06
7.41E-02,3.33E-06,7.41E-02,2.77E-06
7.11E-02,3.23E-06,7.11E-02,2.70E-06
6.81E-02,3.12E-06,6.81E-02,2.61E-06
6.51E-02,3.00E-06,6.51E-02,2.52E-06
6.20E-02,2.90E-06,6.20E-02,2.44E-06
5.90E-02,2.77E-06,5.90E-02,2.33E-06
5.60E-02,2.65E-06,5.60E-02,2.23E-06
5.31E-02,2.52E-06,5.31E-02,2.12E-06
5.01E-02,2.42E-06,5.01E-02,2.04E-06
4.70E-02,2.29E-06,4.70E-02,1.94E-06
4.40E-02,2.17E-06,4.40E-02,1.84E-06
4.10E-02,2.03E-06,4.10E-02,1.72E-06
3.80E-02,1.90E-06,3.80E-02,1.61E-06
3.50E-02,1.75E-06,3.50E-02,1.48E-06
3.20E-02,1.65E-06,3.20E-02,1.41E-06
2.90E-02,1.52E-06,2.90E-02,1.31E-06
2.60E-02,1.39E-06,2.60E-02,1.20E-06
2.30E-02,1.25E-06,2.30E-02,1.07E-06
2.00E-02,1.11E-06,2.00E-02,9.58E-07
1.70E-02,9.92E-07,1.70E-02,8.64E-07
1.40E-02,8.34E-07,1.40E-02,7.29E-07
1.10E-02,6.86E-07,1.10E-02,6.04E-07
8.01E-03,5.49E-07,8.01E-03,4.89E-07
5.02E-03,3.99E-07,5.02E-03,3.61E-07
2.00E-03,2.47E-07,2.00E-03,2.32E-07
-1.07E-03,1.05E-07,-1.07E-03,1.13E-07
-4.07E-03,-5.89E-08,-4.07E-03,-2.84E-08
-7.08E-03,-2.10E-07,-7.08E-03,-1.57E-07
-1.01E-02,-3.41E-07,-1.01E-02,-2.65E-07
-1.31E-02,-5.10E-07,-1.31E-02,-4.11E-07
-1.61E-02,-6.58E-07,-1.61E-02,-5.38E-07
-1.91E-02,-7.80E-07,-1.91E-02,-6.37E-07
-2.21E-02,-9.41E-07,-2.21E-02,-7.75E-07
-2.51E-02,-1.10E-06,-2.51E-02,-9.14E-07
-2.81E-02,-1.24E-06,-2.81E-02,-1.03E-06
-3.11E-02,-1.40E-06,-3.11E-02,-1.17E-06
-3.41E-02,-1.53E-06,-3.41E-02,-1.27E-06
-3.71E-02,-1.65E-06,-3.71E-02,-1.37E-06
-4.01E-02,-1.81E-06,-4.01E-02,-1.51E-06
-4.31E-02,-1.95E-06,-4.31E-02,-1.62E-06
-4.61E-02,-2.07E-06,-4.61E-02,-1.72E-06
-4.91E-02,-2.22E-06,-4.91E-02,-1.86E-06
-5.21E-02,-2.34E-06,-5.21E-02,-1.95E-06
-5.51E-02,-2.47E-06,-5.51E-02,-2.05E-06
-5.81E-02,-2.60E-06,-5.81E-02,-2.17E-06
-6.11E-02,-2.72E-06,-6.11E-02,-2.27E-06
-6.41E-02,-2.85E-06,-6.41E-02,-2.36E-06
-6.71E-02,-2.96E-06,-6.71E-02,-2.46E-06
-7.01E-02,-3.12E-06,-7.01E-02,-2.59E-06
-7.31E-02,-3.24E-06,-7.31E-02,-2.69E-06
-7.61E-02,-3.36E-06,-7.61E-02,-2.78E-06
-7.92E-02,-3.47E-06,-7.92E-02,-2.87E-06
-8.22E-02,-3.57E-06,-8.22E-02,-2.96E-06
-8.52E-02,-3.69E-06,-8.52E-02,-3.05E-06
-8.81E-02,-3.79E-06,-8.81E-02,-3.13E-06
-9.12E-02,-3.91E-06,-9.12E-02,-3.23E-06
-9.42E-02,-4.04E-06,-9.42E-02,-3.33E-06
-9.71E-02,-4.14E-06,-9.71E-02,-3.41E-06
-1.00E-01,-4.24E-06,-1.00E-01,-3.49E-06
-1.03E-01,-4.34E-06,-1.03E-01,-3.56E-06
-1.06E-01,-4.44E-06,-1.06E-01,-3.64E-06
-1.09E-01,-4.55E-06,-1.09E-01,-3.73E-06
-1.12E-01,-4.65E-06,-1.12E-01,-3.80E-06
-1.15E-01,-4.76E-06,-1.15E-01,-3.89E-06
-1.18E-01,-4.84E-06,-1.18E-01,-3.95E-06
-1.21E-01,-4.93E-06,-1.21E-01,-4.02E-06
-1.24E-01,-5.04E-06,-1.24E-01,-4.11E-06
-1.27E-01,-5.12E-06,-1.27E-01,-4.17E-06
-1.30E-01,-5.23E-06,-1.30E-01,-4.25E-06
-1.33E-01,-5.32E-06,-1.33E-01,-4.32E-06
-1.36E-01,-5.40E-06,-1.36E-01,-4.37E-06
-1.39E-01,-5.48E-06,-1.39E-01,-4.43E-06
-1.42E-01,-5.57E-06,-1.42E-01,-4.50E-06
-1.45E-01,-5.65E-06,-1.45E-01,-4.56E-06
-1.48E-01,-5.73E-06,-1.48E-01,-4.61E-06
-1.51E-01,-5.81E-06,-1.51E-01,-4.67E-06
-1.54E-01,-5.90E-06,-1.54E-01,-4.74E-06
-1.57E-01,-5.97E-06,-1.57E-01,-4.79E-06
-1.60E-01,-6.04E-06,-1.60E-01,-4.84E-06
-1.63E-01,-6.11E-06,-1.63E-01,-4.88E-06
-1.66E-01,-6.18E-06,-1.66E-01,-4.93E-06
-1.69E-01,-6.24E-06,-1.69E-01,-4.97E-06
-1.72E-01,-6.32E-06,-1.72E-01,-5.02E-06
-1.75E-01,-6.39E-06,-1.75E-01,-5.07E-06
-1.78E-01,-6.47E-06,-1.78E-01,-5.13E-06
-1.81E-01,-6.52E-06,-1.81E-01,-5.16E-06
-1.84E-01,-6.58E-06,-1.84E-01,-5.19E-06
-1.87E-01,-6.64E-06,-1.87E-01,-5.23E-06
-1.90E-01,-6.70E-06,-1.90E-01,-5.27E-06
-1.93E-01,-6.77E-06,-1.93E-01,-5.32E-06
-1.96E-01,-6.83E-06,-1.96E-01,-5.35E-06
-1.99E-01,-6.88E-06,-1.99E-01,-5.39E-06
-2.02E-01,-6.93E-06,-2.02E-01,-5.41E-06
-2.05E-01,-6.99E-06,-2.05E-01,-5.45E-06
-2.08E-01,-7.04E-06,-2.08E-01,-5.48E-06
-2.11E-01,-7.09E-06,-2.11E-01,-5.50E-06
-2.14E-01,-7.13E-06,-2.14E-01,-5.52E-06
-2.17E-01,-7.19E-06,-2.17E-01,-5.55E-06
-2.20E-01,-7.24E-06,-2.20E-01,-5.59E-06
-2.23E-01,-7.28E-06,-2.23E-01,-5.60E-06
-2.26E-01,-7.32E-06,-2.26E-01,-5.62E-06
-2.29E-01,-7.39E-06,-2.29E-01,-5.66E-06
-2.32E-01,-7.43E-06,-2.32E-01,-5.68E-06
-2.35E-01,-7.47E-06,-2.35E-01,-5.70E-06
-2.38E-01,-7.49E-06,-2.38E-01,-5.70E-06
-2.41E-01,-7.54E-06,-2.41E-01,-5.73E-06
-2.44E-01,-7.59E-06,-2.44E-01,-5.75E-06
-2.47E-01,-7.63E-06,-2.47E-01,-5.77E-06
-2.50E-01,-7.67E-06,-2.50E-01,-5.79E-06
-2.53E-01,-7.70E-06,-2.53E-01,-5.80E-06
-2.56E-01,-7.73E-06,-2.56E-01,-5.80E-06
-2.59E-01,-7.77E-06,-2.59E-01,-5.82E-06
-2.62E-01,-7.81E-06,-2.62E-01,-5.84E-06
-2.65E-01,-7.84E-06,-2.65E-01,-5.85E-06
-2.68E-01,-7.87E-06,-2.68E-01,-5.86E-06
-2.71E-01,-7.93E-06,-2.71E-01,-5.89E-06
-2.74E-01,-7.95E-06,-2.74E-01,-5.88E-06
-2.77E-01,-7.98E-06,-2.77E-01,-5.90E-06
-2.80E-01,-8.02E-06,-2.80E-01,-5.91E-06
-2.83E-01,-8.06E-06,-2.83E-01,-5.93E-06
-2.86E-01,-8.08E-06,-2.86E-01,-5.93E-06
-2.89E-01,-8.12E-06,-2.89E-01,-5.94E-06
-2.92E-01,-8.15E-06,-2.92E-01,-5.95E-06
-2.95E-01,-8.17E-06,-2.95E-01,-5.95E-06
-2.98E-01,-8.21E-06,-2.98E-01,-5.96E-06
-3.01E-01,-8.23E-06,-3.01E-01,-5.97E-06
-3.04E-01,-8.27E-06,-3.04E-01,-5.99E-06
-3.07E-01,-8.30E-06,-3.07E-01,-5.99E-06
-3.10E-01,-8.33E-06,-3.10E-01,-6.00E-06
-3.13E-01,-8.37E-06,-3.13E-01,-6.01E-06
-3.16E-01,-8.39E-06,-3.16E-01,-6.01E-06
-3.19E-01,-8.41E-06,-3.19E-01,-6.00E-06
-3.22E-01,-8.45E-06,-3.22E-01,-6.02E-06
-3.26E-01,-8.46E-06,-3.26E-01,-6.02E-06
-3.28E-01,-8.49E-06,-3.28E-01,-6.02E-06
-3.31E-01,-8.53E-06,-3.31E-01,-6.04E-06
-3.35E-01,-8.55E-06,-3.35E-01,-6.03E-06
-3.38E-01,-8.59E-06,-3.38E-01,-6.05E-06
