wkt_geom,field_1,fieldStation,type,easting,northing,notes,strike,dip,assocTrend,assocPlunge,rake,trend,plunge,featureType,foliationType,otherStructure,otherStructureType,hingeTrend,hingePlunge,axialPlaneStrike,axialPlaneDip,sampleme,sampleOrientationNote,imageID,imageID2,imageID3,imageID4,imageID5,imageID6,imageID7,imageID8,imageID9,imageID10
Point (119.94021100000000501 -21.35715599999999981),913,Ame18fieldstation-601,Point,119.940211,-21.357156,Sandy_schist_unit_with_large_porphyroclasts_or_blasts;_3_mm_in_diameter._Displays_assymmrtric_folding._Dextral.,0,0,0,0,0,0,0,,,,,0,0,0,0,,,15308440360934.jpg,15308439056471.jpg,,,,,,,,
Point (119.94020399999999427 -21.35716199999999887),915,Ame18fieldstation-602,Point,119.940204,-21.357162,Interbedded_cherts_and_schists;_at_2_cm_scale.,0,0,0,0,0,0,0,,,,,0,0,0,0,,,15308445790790.jpg,15308442367261.jpg,,,,,,,,
Point (119.93940000000000623 -21.35637699999999839),921,Ame18fieldstation-608,Point,119.9394,-21.356377,,246,88,0,0,0,0,0,foliation,crenulation_cl,,,0,0,0,0,,,,,,,,,,,,
Point (119.93940000000000623 -21.35637699999999839),922,Ame18fieldstation-608,Point,119.9394,-21.356377,,338,84,0,0,0,0,0,foliation,plar_schistosity,,,0,0,0,0,,,,,,,,,,,,
Point (119.9392610000000019 -21.35636900000000082),923,Ame18fieldstation-609,Point,119.939261,-21.356369,Chlorite_schist_with_very_strong_crenulation_cleavage_cutting_throu_small_scale_folds.,65,88,0,0,0,0,0,foliation,crenulation_cl,,,0,0,0,0,,,15308472876706.jpg,,,,,,,,,
Point (119.9392610000000019 -21.35636900000000082),924,Ame18fieldstation-609,Point,119.939261,-21.356369,Chlorite_schist_with_very_strong_crenulation_cleavage_cutting_throu_small_scale_folds.,246,84,0,0,0,0,0,foliation,crenulation_cl,,,0,0,0,0,,,15308472876706.jpg,,,,,,,,,
Point (119.93907600000000002 -21.35610199999999992),925,Ame18fieldstation-610,Point,119.939076,-21.356102,Very_strong_crenulation_cleavage—_origil_foliation_is_almost_obliterated.,243,85,0,0,0,0,0,foliation,crenulation_cl,,,0,0,0,0,,,15308477211202.jpg,15308477071371.jpg,,,,,,,,
Point (119.93907600000000002 -21.35610199999999992),926,Ame18fieldstation-610,Point,119.939076,-21.356102,Very_strong_crenulation_cleavage—_origil_foliation_is_almost_obliterated.,354,83,0,0,0,0,0,foliation,schistosity,,,0,0,0,0,,,15308477211202.jpg,15308477071371.jpg,,,,,,,,
Point (119.93897695772000134 -21.35597503328299851),928,Ame18fieldstation-611,Point,119.93897695772,-21.355975033283,Interbedded_cherts_and_schists;_with_dextral_asymmetric_skinks_and_folds._Crenulations.,229,81,0,0,0,0,0,foliation,crenulation_cl,,,0,0,0,0,,,,,,,,,,,,
Point (119.9390109999999936 -21.35600700000000174),930,Ame18fieldstation-612,Point,119.939011,-21.356007,Hinge_of_an_open_fold.,76,87,0,0,0,0,0,foliation,crenulation_cl,,,0,0,0,0,,,15308486648496.jpg,,,,,,,,,
Point (119.93907299999999339 -21.35602499999999893),932,Ame18fieldstation-613,Point,119.939073,-21.356025,Southern_limb_of_open_fold,94,85,0,0,0,0,0,foliation,crenulation_cl,,,0,0,0,0,,,,,,,,,,,,
Point (119.93891999999999598 -21.35583700000000107),934,Ame18fieldstation-614,Point,119.93892,-21.355837,Felsic_schist_with_small_porphyroclasts;_very_well_crenulated.,204,81,0,0,0,0,0,foliation,crenulation_cl,,,0,0,0,0,,,15308493152860.jpg,,,,,,,,,
Point (119.94166099999999631 -21.35694099999999906),1240,AME 18 fieldstation-399,Point,119.941661,-21.356941,Fold/_kink_bands_present,0,0,0,0,0,0,0,,,,,0,0,0,0,,,15300651352138.jpg,15300649946174.jpg,15300645511553.jpg,15300638987799.jpg,15300638647717.jpg,,,,,
Point (119.94166099999999631 -21.35694099999999906),1241,AME 18 fieldstation-399,Point,119.941661,-21.356941,Fold/_kink_bands_present,0,0,0,0,0,0,0,,,,,0,0,0,0,,,15300651352138.jpg,15300649946174.jpg,15300645511553.jpg,15300638987799.jpg,15300638647717.jpg,,,,,
Point (119.94166099999999631 -21.35694099999999906),1242,AME 18 fieldstation-399,Point,119.941661,-21.356941,Fold/_kink_bands_present,0,0,0,0,0,0,0,,,,,0,0,0,0,,,15300651352138.jpg,15300649946174.jpg,15300645511553.jpg,15300638987799.jpg,15300638647717.jpg,,,,,
Point (119.94166099999999631 -21.35694099999999906),1243,AME 18 fieldstation-399,Point,119.941661,-21.356941,Fold/_kink_bands_present,0,0,0,0,0,0,0,,,,,0,0,0,0,,,15300651352138.jpg,15300649946174.jpg,15300645511553.jpg,15300638987799.jpg,15300638647717.jpg,,,,,
Point (119.94166099999999631 -21.35694099999999906),1244,AME 18 fieldstation-399,Point,119.941661,-21.356941,Fold/_kink_bands_present,0,0,0,0,0,0,0,,,,,0,0,0,0,,,15300651352138.jpg,15300649946174.jpg,15300645511553.jpg,15300638987799.jpg,15300638647717.jpg,,,,,
Point (119.94135799999999392 -21.35664200000000079),1253,AME 18 fieldstation-407,Point,119.941358,-21.356642,Crenellations_clevage,209,84,0,0,0,0,0,foliation,crenulation_cl,,,0,0,0,0,,,,,,,,,,,,
Point (119.94132199999999955 -21.35664399999999929),1254,AME 18 fieldstation-408,Point,119.941322,-21.356644,,208,85,0,0,0,0,0,foliation,crenulation_cl,,,0,0,0,0,,,,,,,,,,,,
Point (119.94132100000000207 -21.35668300000000031),1255,AME 18 fieldstation-409,Point,119.941321,-21.356683,,33,88,0,0,0,0,0,foliation,crenulation_cl,,,0,0,0,0,,,,,,,,,,,,
Point (119.94134999999999991 -21.35669599999999946),1256,AME 18 fieldstation-410,Point,119.94135,-21.356696,,215,80,0,0,0,0,0,foliation,crenulation_cl,,,0,0,0,0,,,,,,,,,,,,
Point (119.94145500000000482 -21.3568649999999991),1257,AME 18 fieldstation-411,Point,119.941455,-21.356865,,211,82,0,0,0,0,0,foliation,crenulation_cl,,,0,0,0,0,,,,,,,,,,,,
Point (119.94227800000000173 -21.35692999999999842),1258,AME 18 fieldstation-412,Point,119.942278,-21.35693,Crenulations_present,242,83,0,0,0,0,0,foliation,crenulation_cl,,,0,0,0,0,,,15300719827991.jpg,,,,,,,,,
Point (119.93885199999999713 -21.35580699999999865),1259,AME 18 fieldstation-413,Point,119.938852,-21.355807,,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,
Point (119.93882700000000341 -21.35564000000000107),1266,AME 18 fieldstation-419,Point,119.938827,-21.35564,Sample_of_unit,0,0,0,0,0,0,0,,,,,0,0,0,0,AME 18-216,,,,,,,,,,,
Point (119.93887499999999591 -21.35561799999999977),1267,AME 18 fieldstation-420,Point,119.938875,-21.355618,Fault_interface_between_the_two_rock_types;_trending_074;_30m_sinistral_offset,0,0,0,0,0,0,0,,,,,0,0,0,0,,,15301475910239.jpg,,,,,,,,,
Point (119.93929500000000132 -21.35577599999999876),1274,AME 18 fieldstation-426,Point,119.939295,-21.355776,Another_fault_of_the_stripey_unit_and_interbedded_unit;_offset_sinistral_normal_at_least_1m,0,0,0,0,0,0,0,,,,,0,0,0,0,,,15301499882598.jpg,15301500623399.jpg,,,,,,,,
Point (119.93988799999999628 -21.35612799999999822),1281,AME 18 fieldstation-433,Point,119.939888,-21.356128,Hinge_in_part_of_unit,0,0,0,0,0,0,0,,,,,0,0,0,0,,,15301543502520.jpg,,,,,,,,,
Point (119.93939899999999454 -21.3563110000000016),1293,AME 18 fieldstation-444,Point,119.939399,-21.356311,Fold_hinge_sample_with_quartz_veining,0,0,0,0,0,0,0,,,,,0,0,0,0,AME 18-219,H N,15301632828359.jpg,,,,,,,,,
Point (119.93983799999999462 -21.35642199999999846),1299,AME 18 fieldstation-450,Point,119.939838,-21.356422,,0,0,0,0,0,0,0,,,fold,antiform,296,74,0,0,,,15301684941818.jpg,,,,,,,,,
Point (119.94009099999999535 -21.35569500000000076),1305,AME 18 fieldstation-456,Point,119.940091,-21.355695,Other_chert_unit;_schist_underneath_displaying_crenulation_clevage,109,78,0,0,0,0,0,bedding,,,,0,0,0,0,AME 18-220,"109
78",15302356625445.jpg,15302346060996.jpg,15302343649592.jpg,,,,,,,
Point (119.94009099999999535 -21.35569500000000076),1306,AME 18 fieldstation-456,Point,119.940091,-21.355695,Other_chert_unit;_schist_underneath_displaying_crenulation_clevage,53,86,0,0,0,0,0,foliation,crenulation_cl,,,0,0,0,0,,,15302356625445.jpg,15302346060996.jpg,15302343649592.jpg,,,,,,,
Point (119.94009099999999535 -21.35569500000000076),1307,AME 18 fieldstation-456,Point,119.940091,-21.355695,Other_chert_unit;_schist_underneath_displaying_crenulation_clevage,0,0,0,0,0,0,0,,,,,0,0,0,0,,,15302356625445.jpg,15302346060996.jpg,15302343649592.jpg,,,,,,,
Point (119.93994600000000617 -21.3557699999999997),1308,AME 18 fieldstation-457,Point,119.939946,-21.35577,,0,0,0,0,0,0,0,,,fold,synform,51,86,0,0,,,15302348013116.jpg,,,,,,,,,
Point (119.9398479999999978 -21.35570999999999842),1309,AME 18 fieldstation-458,Point,119.939848,-21.35571,Crenulation_clevage_by_other_chert_unit;_same_schist_as_before,44,85,0,0,0,0,0,foliation,crenulation_cl,,,0,0,0,0,,,,,,,,,,,,
Point (119.93988099999999974 -21.35574899999999943),1310,AME 18 fieldstation-459,Point,119.939881,-21.355749,Interbedded_kind_of_unit;_kinks_exhibited,0,0,0,0,0,0,0,,,,,0,0,0,0,AME 18-220,H N,15302364371376.jpg,,,,,,,,,
Point (119.93909499999999468 -21.35615999999999914),1334,AME 18 fieldstation-481,Point,119.939095,-21.35616,,10,76,0,0,0,0,0,bedding,,,,0,0,0,0,,,,,,,,,,,,
Point (119.93920699999999613 -21.35658199999999951),1336,AME 18 fieldstation-482,Point,119.939207,-21.356582,Not_sure_what_unit;_in_tail_of_Dino,251,89,0,0,0,0,0,foliation,cleavage,,,0,0,0,0,,,,,,,,,,,,
Point (119.94362599999999475 -21.35503800000000041),1435,AME 18 fieldstation-571,Point,119.943626,-21.355038,,224,87,0,0,0,0,0,foliation,crenulation_cl,,,0,0,0,0,,,15308384703212.jpg,,,,,,,,,
Point (119.94382000000000232 -21.3551700000000011),1436,AME 18 fieldstation-572,Point,119.94382,-21.35517,,203,85,0,0,0,0,0,foliation,crenulation_cl,,,0,0,0,0,,,15308389437522.jpg,,,,,,,,,
Point (119.94354400000000282 -21.35598999999999847),1437,AME 18 fieldstation-573,Point,119.943544,-21.35599,Metabasalt,193,81,0,0,0,0,0,foliation,crenulation_cl,fold,,195,74,17,76,,,15308396882110.jpg,,,,,,,,,
Point (119.94330499999999518 -21.35643599999999864),1438,AME 18 fieldstation-574,Point,119.943305,-21.356436,Could_be_limb_of_very_tight_fold,0,0,0,0,0,0,0,,,,,0,0,0,0,AME 18-243,,,,,,,,,,,
Point (119.94098999999999933 -21.35746800000000079),1440,AME 18 fieldstation-576,Point,119.94099,-21.357468,Garnet_bearing_unit,0,0,0,0,0,0,0,,,,,0,0,0,0,AME 18-244,,,,,,,,,,,
Point (119.94038999999999362 -21.35727699999999984),1441,AME 18 fieldstation-577,Point,119.94039,-21.357277,Metabasalt_schist,263,64,0,0,0,0,0,bedding,,,,0,0,0,0,,,,,,,,,,,,
