Name	Field	Freq.	Km	L	F	P	Pj	T	U	K1dec	K1inc	K2dec	K2inc	K3dec	K3inc	K11	K22	K33	K12	K23	K13
AME16140_C2	423	F1	78.31374	1.02	1.138	1.161	1.176	0.729	0.711	326.8	74.8	80.7	6.3	172.3	13.8	0.91956	1.03305	1.04739	0.01515	-0.00684	0.03321
AME16141_A1	423	F1	150.482	1.044	1.101	1.149	1.153	0.381	0.351	237	8.9	142	29.1	342.3	59.3	1.007	1.04462	0.94838	0.02696	0.00668	-0.04266
AME16141_A2	423	F1	259.5807	1.062	1.061	1.127	1.127	-0.003	-0.033	224	14.1	124.8	32.7	334	53.7	1.01233	1.02282	0.96485	0.03696	0.002	-0.03518
AME16141_B1	423	F1	158.0662	1.051	1.1	1.156	1.159	0.315	0.282	232	11.1	133.8	36.1	336.3	51.7	1.00265	1.0387	0.95865	0.03718	0.01037	-0.04708
AME16141_B2	423	F1	130.8912	1.044	1.115	1.165	1.17	0.431	0.4	226.3	10.6	133.3	15.6	349.1	71	1.0301	1.04252	0.92738	0.02391	0.00023	-0.0376
AME16141_C1	423	F1	851.6532	1.658	1.059	1.756	1.859	-0.796	-0.844	236.5	10.2	140.3	30.9	342.7	57.1	0.9822	1.20054	0.81726	0.24837	-0.0736	-0.07314
AME16141_C2	423	F1	99.02827	1.058	1.08	1.143	1.143	0.15	0.117	233	10.3	137.8	26.2	342.6	61.5	1.01038	1.0399	0.94972	0.03212	0.00103	-0.03591
AME16142_A1	423	F1	80.22649	1.044	1.022	1.067	1.069	-0.333	-0.347	260.1	19.2	25.5	58.9	161.4	23.4	0.97741	1.02877	0.99383	0.0121	-0.01599	0.00503
AME16142_A2	423	F1	82.94519	1.032	1.03	1.063	1.063	-0.02	-0.035	262.6	15.1	25.2	63.4	166.6	21.3	0.97564	1.02684	0.99753	0.00949	-0.01015	0.00867
AME16142_B1	423	F1	87.29815	1.033	1.038	1.072	1.072	0.068	0.051	265.7	15.8	25.6	60.4	168.3	24.3	0.97214	1.03043	0.99743	0.00831	-0.01145	0.01283
AME16142_C1	423	F1	68.61987	1.03	1.033	1.064	1.064	0.047	0.032	277.5	30.3	54.4	51.3	174.1	21.6	0.97375	1.02231	1.00394	-0.00008	-0.01406	0.01259
AME16142_D1	423	F1	81.11351	1.021	1.032	1.054	1.054	0.195	0.182	270.8	34.1	64.2	52.9	171.9	12.9	0.97426	1.01735	1.00839	0.00392	-0.01094	0.00685
AME16142_D2	423	F1	82.60222	1.028	1.021	1.049	1.049	-0.135	-0.146	262.6	16.6	42.4	68.6	168.6	13	0.97932	1.02181	0.99887	0.00702	-0.0084	0.00344
AME16144_A1	423	F1	1751.524	1.194	1.058	1.264	1.277	-0.518	-0.56	238.2	14.8	142.6	20.4	1.6	64.4	0.99392	1.08105	0.92503	0.0774	-0.03949	-0.04449
AME16144_A2	423	F1	1622.424	1.102	1.084	1.195	1.195	-0.092	-0.136	235.5	26.3	354.9	44.9	126.3	33.6	0.99934	1.01246	0.9882	0.06354	-0.06169	-0.00179
AME16144_B1	423	F1	1530.672	1.189	1.083	1.288	1.295	-0.372	-0.425	247.9	29.8	2.7	36.2	129.8	39.4	0.96528	1.05566	0.97905	0.06956	-0.10061	-0.00658
AME16144_B2	423	F1	1317.771	1.222	1.066	1.303	1.318	-0.516	-0.564	250.5	22.6	156.6	9.3	45.7	65.4	0.96437	1.10385	0.93178	0.05136	-0.08632	-0.04042
AME16144_C1	423	F1	1711.16	1.149	1.061	1.219	1.225	-0.399	-0.44	233.9	24	7.9	57.3	134.1	20.7	0.98869	1.02383	0.98748	0.08186	-0.05667	-0.01873
AME16144_C2	423	F1	1077.553	1.113	1.078	1.2	1.201	-0.176	-0.22	244.6	22.4	0.8	47	138.1	34.4	0.97731	1.04269	0.98	0.0611	-0.05774	0.00787
AME16145_A1	423	F1	8218.771	1.143	1.077	1.231	1.235	-0.286	-0.333	246.1	9.7	9.3	72.6	153.6	14.3	0.94626	1.07725	0.97649	0.07632	-0.02865	0.00556
AME16145_A2	423	F1	11106.02	1.104	1.151	1.271	1.272	0.176	0.118	64.1	3.3	324.1	71.5	155.2	18.2	0.93058	1.07264	0.99677	0.08668	-0.01106	0.03837
AME16145_B1	423	F1	12382.96	1.026	1.237	1.27	1.3	0.784	0.761	306.8	52	56.9	15	157.2	33.9	0.9434	1.04422	1.01238	0.0449	-0.04712	0.09473
AME16145_B2	423	F1	8936.728	1.132	1.094	1.238	1.239	-0.163	-0.214	57.5	7.5	313.2	62.1	151.3	26.7	0.96992	1.06026	0.96982	0.0863	-0.00209	0.03872
AME16145_C1	423	F1	9418.386	1.137	1.096	1.246	1.247	-0.17	-0.223	59.2	16.8	302.9	55.8	158.8	28.9	0.95879	1.06632	0.97489	0.0766	0.01895	0.05292
AME16145_C2	423	F1	11621.01	1.142	1.166	1.332	1.333	0.073	0.001	65.9	2.5	332.8	50.5	158	39.4	0.95067	1.10647	0.94286	0.08262	-0.0205	0.06746
AME16146_A1	423	F1	5352.591	1.133	1.081	1.226	1.228	-0.231	-0.279	234.7	10.7	140.5	21	350.1	66.2	1.0115	1.06477	0.92373	0.06163	-0.0148	-0.04068
AME16146_A2	423	F1	21646.66	1.106	1.116	1.234	1.234	0.041	-0.012	227.7	19.2	129.4	22.7	354	59.6	1.01568	1.05072	0.9336	0.04985	-0.01962	-0.06709
AME16146_B1	423	F1	28503.52	1.095	1.263	1.383	1.397	0.441	0.374	263.7	17.3	159.6	37.9	13.2	46.9	0.94476	1.12278	0.93246	-0.01256	-0.05253	-0.10827
AME16146_B2	423	F1	29208.54	1.11	1.226	1.361	1.368	0.322	0.252	266.8	13.4	165.6	39.1	12	47.7	0.94397	1.12814	0.92789	-0.01154	-0.04507	-0.09344
AME16146_C1	423	F1	927.8561	1.133	1.102	1.249	1.25	-0.124	-0.179	214.4	51.7	111.1	10.3	13.4	36.4	0.96499	0.99962	1.03539	0.01016	-0.04624	-0.09532
AME16146_C2	423	F1	1332.935	1.054	1.127	1.187	1.192	0.391	0.354	227	66.5	108.6	11.7	14.2	20.1	0.929	1.01851	1.0525	-0.01979	-0.02369	-0.04942
AME16147_A1	423	F1	4454.57	1.443	1.288	1.859	1.866	-0.183	-0.329	249.6	34.8	150	13.4	42.3	51.9	0.92231	1.14056	0.93713	0.05149	-0.24958	-0.14238
AME16147_A2	423	F1	4808.705	1.401	1.48	2.074	2.075	0.075	-0.106	249.8	32.5	156.4	5.4	58.1	56.9	0.9817	1.15208	0.86622	0.04763	-0.28927	-0.13764
AME16147_B1	423	F1	737.8825	1.389	1.136	1.578	1.601	-0.441	-0.529	259	46.6	355.5	6.1	91.2	42.8	0.92369	1.02099	1.05532	0.03267	-0.2297	-0.03279
