wkt_geom,field_1,fieldStation,type,easting,northing,notes,strike,dip,assocTrend,assocPlunge,rake,trend,plunge,featureType,foliationType,otherStructure,otherStructureType,hingeTrend,hingePlunge,axialPlaneStrike,axialPlaneDip,sampleme,sampleOrientationNote,imageID,imageID2,imageID3,imageID4,imageID5,imageID6,imageID7,imageID8,imageID9,imageID10
Point (119.96214100000000258 -21.36221400000000159),862,Ame18fieldstation-565,Point,119.962141,-21.362214,Stripey_amphibolite_schist._Biotite.,150,69,243,69,91,0,0,foliation,gneissic_folia,,,0,0,0,0,,,15307514210566.jpg,15307513816963.jpg,,,,,,,,
Point (119.95596399999999448 -21.35471199999999925),892,Ame18fieldstation-588,Point,119.955964,-21.354712,Finely_lamited_muscovite_schist._Very_crenulated.,308,75,42,75,91,0,0,foliation,schistosity,,,0,0,0,0,,,15307739183273.jpg,,,,,,,,,
Point (119.96165700000000243 -21.36043400000000148),635,Ame18fieldstation-376,Point,119.961657,-21.360434,Coherent_strong_fabric;_ridge_forming_unit.,147,77,246,77,92,0,0,foliation,schistosity,,,0,0,0,0,,,15298966437080.jpg,,,,,,,,,
Point (119.95679400000000214 -21.35500700000000052),890,Ame18fieldstation-586,Point,119.956794,-21.355007,,137,83,243,83,92,0,0,foliation,schistosity,,,0,0,0,0,,,15307730807168.jpg,,,,,,,,,
Point (119.96165200000000084 -21.36044000000000054),1222,AME 18 fieldstation-385,Point,119.961652,-21.36044,,147,77,246,77,92,0,0,foliation,plar_schistosity,,,0,0,0,0,AME 18-211,,,,,,,,,,,
Point (119.96179700000000423 -21.36236500000000049),860,Ame18fieldstation-563,Point,119.961797,-21.362365,Dextral_foliation_crosses_a_felsic_schist_“bed”._Felsic_schist_is_inter_layered_at_the_Hal_meter_scale_with_amphibolite_schist.,138,88,284,86,93,0,0,foliation,schistosity,,,0,0,0,0,,,15307508049031.jpg,,,,,,,,,
Point (119.95629999999999882 -21.3545279999999984),891,Ame18fieldstation-587,Point,119.9563,-21.354528,1_m_interbedded_schists.,135,74,239,74,94,0,0,foliation,schistosity,,,0,0,0,0,,,,,,,,,,,,
Point (119.96048500000000558 -21.35883499999999913),1987,AME18FieldStation-556,Point,119.960485,-21.358835,,130,86,265,84,94,0,0,foliation,schistosity,,,0,0,0,0,,,,,,,,,,,,
Point (119.96166399999999896 -21.36041399999999868),1769,AME18FieldStation-369,Point,119.961664,-21.360414,Has_clasts,149,71,254,70,95,0,0,foliation,schistosity,,,0,0,0,0,AME18-211,,15298961379678.jpg,,,,,,,,,
Point (119.96278999999999826 -21.3612189999999984),643,Ame18fieldstation-381,Point,119.96279,-21.361219,Garnets!,162,70,269,69,96,0,0,foliation,gneissic_folia,,,0,0,0,0,Ame18-213 b,,15299058737314.jpg,,,,,,,,,
Point (119.96277299999999855 -21.36127099999999857),1776,AME18FieldStation-374,Point,119.962773,-21.361271,Garnets,162,70,269,69,96,0,0,foliation,schistosity,,,0,0,0,0,,,15299080505375.jpg,,,,,,,,,
Point (119.96295000000000641 -21.36207500000000081),1981,AME18FieldStation-551,Point,119.96295,-21.362075,,151,72,260,71,96,0,0,foliation,schistosity,,,0,0,0,0,,,,,,,,,,,,
