,fieldStation,easting,northing,notes,strike,dip,assocRake,featureType,foliationType,sampleme,sampleOrientationNote,imageID,imageID2,imageID3,imageID4,imageID5,imageID6,imageID7,imageID8,imageID9,imageID10
1353,AME 18 fieldstation-505,228.636719,332.363281,,103,75,78,bedding,,,,15305020779744.jpg,,,,,,,,,
1946,AME18FieldStation-519,119.954163,-21.364547,Slight_curve_in_unit.,103,87,93,bedding,,,,,,,,,,,,,
54,Ame18fieldstation-28,119.92422933333,-21.348172166667,"Hi_Jed_up_into_the_hills_from_the_camp_down_in_the_creek._The_goal_was_to_get_into_the_slice_of_the_Apex_basalt._We_are_not_sure_if_we_are_there,_but_we_certainly_found_garnets_in_a_felsic_schist._Sampled_it.",103,72,98,foliation,schistosity,Ame18-12,"Oriented by fabric, 103 72 98",15259329767100.jpg,,,,,,,,,
1354,AME 18 fieldstation-505,228.636719,332.363281,,103,75,102,,,,,15305020779744.jpg,,,,,,,,,
1194,AME 18 fieldstation-360,119.932717,-21.341917,Strong_liberation,103,72,111,foliation,plar_schistosity,,,,,,,,,,,,
338,Ame18fieldstation-189,119.8413897,-21.329581566667,"Chert_bed,_1_m_wide_and_strongly_lineated._Possibly_L_tectonite.",104,84,95,bedding,,Ame18-094,104 84,15278190197741.jpg,15278190069509.jpg,,,,,,,,
759,Ame18fieldstation-480,119.938196,-21.355445,Symmetrical_crenulations_in_small_scale_symmetric_folds.,104,88,96,bedding,,,,15302440426209.jpg,,,,,,,,,
1916,AME18FieldStation-494,119.956152,-21.368518,Slickinfibers_on_south_limb_of_fold._Perpendicular_to_lineation_parallel_to_hinge.,104,72,96,bedding,,,,15305013334118.jpg,15305013205724.jpg,,,,,,,,
603,Ame18fieldstation-354,119.9342,-21.341977,Paragneiss_with_a_little_less_stripe_yes’s.,104,72,106,foliation,gneissic_folia,,,15298223941603.jpg,,,,,,,,,
1809,AME18FieldStation-402,119.93874,-21.355688,End_limb_by_fault,104,89,110,bedding,,,,,,,,,,,,,
1743,AME18FieldStation-348,119.935234,-21.343008,Metabasalt,105,64,95,foliation,schistosity,,,15298228878990.jpg,,,,,,,,,
567,Ame18fieldstation-332,119.944751,-21.349677,Folded_fractures_in_metabasalt_with_foliation_parallel_to_axial_plane._Foliation_has_a_strong_stretching_lineation_defined_by_smeared_biotite.,105,88,98,foliation,cleavage,,,15298007931359.jpg,15298007498394.jpg,15298007352175.jpg,15298001985340.jpg,,,,,,
1261,AME 18 fieldstation-414,119.938883,-21.355754,Long_leg_of_stripey_unit,105,88,101,bedding,,,,,,,,,,,,,
1814,AME18FieldStation-407,119.938956,-21.355658,,105,86,103,bedding,,,,,,,,,,,,,
1813,AME18FieldStation-406,119.938883,-21.355639,,105,89,104,bedding,,,,,,,,,,,,,
578,Ame18fieldstation-339,119.944084,-21.348576,"Interbedded_units,_all_strongly_foliated.",105,86,105,foliation,schistosity,,,15298054040302.jpg,,,,,,,,,
1173,AME 18 fieldstation-346,119.944072,-21.348614,Interbedded,105,86,105,foliation,plar_schistosity,,,15298054901370.jpg,,,,,,,,,
1725,AME18FieldStation-334,119.944368,-21.348691,Feldspathic_interbedded_with_schist._Some_crenulation_is_occuring,105,86,105,foliation,schistosity,,,,,,,,,,,,
548,Ame18fieldstation-318,119.94621,-21.349568,,105,80,108,foliation,schistosity,,,15297260045877.jpg,,,,,,,,,
1144,AME 18 fieldstation-320,119.94621,-21.349532,"Mainly_feldspathic_unit,_little_interbedding",105,80,108,foliation,plar_schistosity,,,15297260695485.jpg,,,,,,,,,
1706,AME18FieldStation-318,119.946146,-21.3499,Interbedded_schists_still,105,80,108,foliation,schistosity,,,15297259908341.jpg,,,,,,,,,
581,Ame18fieldstation-340,119.943294,-21.348068,Flexural_shearing_showing_dextral_motion._Quartzofeldspathic_schist_is_foliated_at_a_higher_angle_to_bedding_than_chlorite_schist._Boundary_between_them_has_garnets._Sampled_garnets.,105,80,112,foliation,schistosity,,,15298086704761.jpg,15298078479855.jpg,,,,,,,,
1176,AME 18 fieldstation-347,119.943253,-21.348075,Bedding_and_foliation_between_units_no_longer_parallel,105,80,112,foliation,plar_schistosity,,,15298078785902.jpg,15298074861415.jpg,,,,,,,,
1728,AME18FieldStation-335,119.943222,-21.348117,"Garnets?_A_bedding_plane_is_cross_cutting_foliation._Flexrual_shearing,_dextral.",105,80,112,foliation,schistosity,,,15298058606420.jpg,,,,,,,,,
1835,AME18FieldStation-423,119.939808,-21.35606,,106,88,96,bedding,,,,,,,,,,,,,
562,Ame18fieldstation-328,119.953199,-21.35296,Schist_with_mm_sized_clasts.,106,89,109,foliation,schistosity,Ame18-202,106 89 rake 109,15297359648114.jpg,15297357143716.jpg,,,,,,,,
1155,AME 18 fieldstation-331,119.953225,-21.35297,,106,89,109,foliation,plar_schistosity,AME 18-202,"106
89
109",15297359249735.jpg,15297353336067.jpg,,,,,,,,
257,Ame18fieldstation-141,119.92052715,-21.3314095,Well_within_the_granitoid_of_the_mt_Edgar._Sampling_a_medium_grained_granitic_gneiss_with_a_clear_reverse_sense_of_shear_(a)_and_a_fine_grained_granitic_rock_for_geochemistry._(B).,106,65,110,foliation,gneissic_folia,Ame18-68b,"310 74 s (130, 74)",15273162087682.jpg,,,,,,,,,
1271,AME 18 fieldstation-424,119.939164,-21.355784,Long_leg_to_left_of_fault,107,86,97,bedding,,,,,,,,,,,,,
601,Ame18fieldstation-352,119.933047,-21.341623,Stripes_paragneiss_with_long_smeared_biotite._Quite_mafic.,107,76,104,foliation,gneissic_folia,,,15298217876748.jpg,,,,,,,,,
1752,AME18FieldStation-354,119.939453,-21.345951,Metabasalt,107,80,110,foliation,schistosity,,,15298258844435.jpg,,,,,,,,,
895,Ame18fieldstation-591,119.961519,-21.359083,Granite_intrusion_within_limb_of_the_large_scale_(map_scale)_fold._In_contact_with_felsic_schist._We_sampled_it_for_AMS_to_know_if_the_fabric_was_the_same_as_the_green_stones.,107,85,114,foliation,schistosity,Ame18-242 a b,H n,15307769115227.jpg,15307760803898.jpg,15307760566320.jpg,,,,,,,
602,Ame18fieldstation-353,119.933447,-21.341731,,108,68,104,foliation,gneissic_folia,,,15298221147542.jpg,,,,,,,,,
1196,AME 18 fieldstation-362,119.934258,-21.3422,"First_siting_of_different_unit,_stopped_before_river",109,83,92,foliation,plar_schistosity,,,,,,,,,,,,
1400,AME 18 fieldstation-542,119.954238,-21.367424,"Further_up_hill_then_location_suggests,_not_in_same_spot",109,83,95,bedding,,,,,,,,,,,,,
48,Ame18fieldstation-21,495,179.375,,109,74,103,,,,,,,,,,,,,,
1812,AME18FieldStation-405,119.938761,-21.355652,,109,86,104,bedding,,,,,,,,,,,,,
253,Ame18fieldstation-139,119.917066,-21.333335416667,Very_strongly_foliated_Augean_paragneiss,109,62,105,foliation,gneissic_folia,Ame18-66,109 81,15273140697935.jpg,,,,,,,,,
254,Ame18fieldstation-139,119.917066,-21.333335416667,Very_strongly_foliated_Augean_paragneiss,109,81,105,foliation,gneissic_folia,Ame18-66 geochemistry,,15273140697935.jpg,,,,,,,,,
1858,AME18FieldStation-446,119.939841,-21.356566,,109,84,105,bedding,,,,,,,,,,,,,
1715,AME18FieldStation-326,119.953128,-21.352959,,109,88,106,foliation,schistosity,AME18-202,,15297357886082.jpg,,,,,,,,,
538,Ame18fieldstation-309,119.94556,-21.350981,,109,82,116,foliation,schistosity,,,15297222027493.jpg,,,,,,,,,
1942,AME18FieldStation-515,119.954183,-21.364667,"Hinge,_s_and_d_taken_on_south_leg,_assumed_hinge_area_and_north_leg",110,77,67,bedding,,,,,,,,,,,,,
55,Ame18fieldstation-29,119.92526405,-21.3481624,,110,84,88,bedding,,,,15259344619265.jpg,15259344378822.jpg,15259343881105.jpg,,,,,,,
1885,AME18FieldStation-469,119.937122,-21.355912,,110,87,89,bedding,,,,,,,,,,,,,
1205,AME 18 fieldstation-371,119.94031,-21.345874,,110,89,91,foliation,plar_schistosity,,,,,,,,,,,,
572,Ame18fieldstation-333,119.944772,-21.349635,Felsic_unit_on_west_limb_of_outcrop_fold.,110,74,102,foliation,schistosity,,,15298027560348.jpg,15298025035988.jpg,,,,,,,,
1203,AME 18 fieldstation-369,119.939321,-21.345409,,110,89,102,foliation,plar_schistosity,,,,,,,,,,,,
1262,AME 18 fieldstation-415,119.93883,-21.35574,Long_leg_still_of_stripey_unit,110,86,103,bedding,,,,,,,,,,,,,
1146,AME 18 fieldstation-321,119.946308,-21.349468,"Gneiss,_L-tectonite,_strong_lineation_compared_to_foliation___Next_to_quartzo_feldspathic_unit",110,84,104,foliation,plar_schistosity,,,15297265490756.jpg,,,,,,,,,
1708,AME18FieldStation-319,119.946348,-21.349419,Towards_center_fold_more_weird_granite_gneiss,110,84,104,foliation,gneissic_folia,,,15297268280935.jpg,15297268203866.jpg,,,,,,,,
550,Ame18fieldstation-319,119.94636,-21.349413,Pod_of_granitic_gneiss_l_tectonite,110,84,105,foliation,schistosity,,,15297271292273.jpg,,,,,,,,,
685,Ame18fieldstation-419,119.938933,-21.355659,,110,85,105,bedding,,Ame18-216,,15301471686845.jpg,,,,,,,,,
1815,AME18FieldStation-408,119.938906,-21.355691,,110,85,105,bedding,,AME18-216 C,Strike and dip,15301471401036.jpg,,,,,,,,,
16,15258325181735,119.94465468333,-21.349022583333,Me_tased_amphibolite,110,77,110,foliation,gneissic_folia,,,,,,,,,,,,
1694,AME18FieldStation-309,119.945516,-21.350625,"Schist,_quartzofeldspathic.",110,81,110,foliation,schistosity,AME18-210,,15297183680618.jpg,15297183613250.jpg,15297183278034.jpg,,,,,,,
207,Ame18fieldstation-120,119.94439011667,-21.352169033333,"Crenulated_pelitic_unit_has_a_strong_lineation_approx_down_dip,_with_a_crenulation_approximately_parallel_to_strike._Crenulations_are_asymmetric._Crenulations_are_part_of_a_large_scale_3_m_kink._Lineation_has_been_kinked,_silineation_predates_kink_folds_and_thrust_event.",110,57,113,foliation,schistosity,Ame18-55,110 57,15272079683679.jpg,15272088151182.jpg,15272093640845.jpg,15272099946286.jpg,,,,,,
1059,Ame18fieldstation-696,120.012732,-21.402604,"Large_scale_kink_fold._Has_small_scale_features_as_well._Large_scale_____Shows_dome_up_sos._Small_scale_shows_reverse_sense._Sample_taken_doesn’t_display_this,_but_instead_a_different_kink_fildin,_may_have_fold_overprints.",110,81,164,foliation,schistosity,Ame18-302,H n,15318125971615.jpg,15318126419149.jpg,,,,,,,,
1399,AME 18 fieldstation-541,119.954208,-21.367424,,111,79,89,bedding,,,,,,,,,,,,,
1199,AME 18 fieldstation-365,119.936783,-21.343916,Borderline_amphibolite_as_seen_on_other_side_of_creek,111,64,99,foliation,plar_schistosity,,,,,,,,,,,,
1201,AME 18 fieldstation-367,119.937831,-21.344774,,111,87,109,foliation,plar_schistosity,,,,,,,,,,,,
208,Ame18fieldstation-120,119.94439011667,-21.352169033333,"Crenulated_pelitic_unit_has_a_strong_lineation_approx_down_dip,_with_a_crenulation_approximately_parallel_to_strike._Crenulations_are_asymmetric._Crenulations_are_part_of_a_large_scale_3_m_kink._Lineation_has_been_kinked,_silineation_predates_kink_folds_and_thrust_event.",111,60,111,,,,,15272079683679.jpg,15272088151182.jpg,15272093640845.jpg,15272099946286.jpg,,,,,,
