site number,specimen,rock type,easting,northing,L,F,P,Pj,T,max,int,min,Dmax (in-situ),Imax (in-situ),Dmin (in-situ),Imin (in-situ),e12,e23,e31,comments
cy13-193,CY13-193b-2,gabbro,484092.6664,3862380.861,1.04769,1.05306,1.10329,1.10334,0.0520072,17.2571,16.4715,15.6415,258.07,1.82505,166.689,37.0984,3.26881,3.09429,1.59081,
cy13-193,CY13-193b-3,gabbro,484092.6664,3862380.861,1.02608,1.04961,1.07699,1.07822,0.305633,9.95834,9.70519,9.24648,217.863,40.5513,21.743,48.3101,4.25812,2.35297,1.51671,
cy13-193,CY13-193b-4,gabbro,484092.6664,3862380.861,1.01979,1.02115,1.04136,1.04137,0.0327917,3685.97,3614.44,3539.59,-47.3422,29.191,-183.798,52.3768,3.01654,2.88304,1.47512,
cy13-197,CY13-197a-1,gabbro,484024.5847,3863154.361,1.01388,1.01821,1.03235,1.03245,0.133861,1030.53,1016.42,998.242,52.5425,70.7186,-45.6047,2.83824,7.50707,5.83978,3.29571,
cy13-197,CY13-197a-2a,gabbro,484024.5847,3863154.361,1.01636,1.01282,1.02938,1.02945,-0.120454,940.798,925.658,913.944,60.5038,61.5179,-49.3102,10.4207,5.62866,7.25936,3.18037,
cy13-197,CY13-197a-2b,gabbro,484024.5847,3863154.361,1.00728,1.02511,1.03257,1.03419,0.547451,1024.31,1016.9,991.992,-223.949,79.5941,-50.8346,10.3325,8.0259,2.39934,1.85012,
cy13-197,CY13-197b-1,gabbro,484024.5847,3863154.361,1.00902,1.01509,1.02424,1.0245,0.250444,984.012,975.217,960.721,20.8512,73.5322,149.963,10.5631,11.5342,7.05738,4.40625,
cy13-197,CY13-197b-2,gabbro,484024.5847,3863154.361,1.01523,1.01368,1.02911,1.02912,-0.0532148,1029.64,1014.2,1000.51,74.4692,73.376,-24.3425,2.61869,6.62946,7.47219,3.52614,
cy13-201,CY13-201a-1,dikes,484573.6776,3860542.288,1.00781,1.00392,1.01176,1.01197,-0.330733,12.91,12.81,12.76,-11,53,117.612,25.1853,8.74904,17.1081,5.85795,
cy13-201,CY13-201a-2,dikes,484573.6776,3860542.288,1.00595,1.00102,1.00697,1.00754,-0.707336,9.45045,9.39455,9.385,-3,86.7175,267,2.21337E-13,15.3922,58.1809,13.2319,
