EigenVal1	EigenVal2	EigenVal3	EigenVec1X	EigenVec1Y	EigenVec1Z	EigenVec2X	EigenVec2Y	EigenVec2Z	EigenVec3X	EigenVec3Y	EigenVec3Z
0.00976597	0.00563468	0.00156078	-0.0131709	0.812485	0.582834	0.998585	-0.0193417	0.0495289	-0.0515145	-0.582662	0.811081
0.0512688	0.0177448	0.0102572	-0.0934387	0.757552	-0.646053	0.563547	0.575181	0.592943	0.820782	-0.308678	-0.48066
0.00810144	0.00650937	0.00476468	0.72412	-0.688101	0.0465523	-0.299126	-0.252529	0.920192	0.621429	0.680254	0.38869
0.0218639	0.0169484	0.0079759	0.69956	-0.309851	0.6439	-0.714549	-0.31077	0.626771	-0.00589935	0.898562	0.438806
0.0185103	0.00832788	0.00599117	-0.215869	0.971743	-0.0954779	-0.336728	0.0176974	0.941436	0.916523	0.235377	0.323392
0.0116714	0.00693663	0.00477019	-0.0473865	-0.528946	0.847331	0.897371	0.350039	0.268697	0.438726	-0.773103	-0.458074
0.0166896	0.00686506	0.00418394	0.874717	0.457237	0.160638	-0.47262	0.731465	0.491518	0.107239	-0.50586	0.855924
0.0299734	0.0136375	0.00460413	-0.580342	-0.106483	0.807382	0.475786	-0.848949	0.230027	0.660932	0.517636	0.543344
0.082232	0.0314508	0.0283732	0.263343	-0.471748	0.841489	0.961658	0.197616	-0.190164	-0.0765819	0.859303	0.505701
0.0185604	0.0101335	0.00673444	0.720352	-0.208716	-0.661461	0.240601	0.969629	-0.0439317	0.650541	-0.127502	0.748692
0.00773457	0.00617637	0.00431939	-0.35715	0.719658	-0.595429	0.722712	0.616753	0.311935	-0.591719	0.318916	0.740379
0.0158316	0.00564763	0.00282163	0.561367	0.518839	-0.644727	-0.788293	0.572394	-0.225741	0.251914	0.634957	0.730321
0.0137186	0.00447643	0.00316535	0.839461	0.284419	-0.463046	-0.0610259	0.896046	0.439747	0.539983	-0.340892	0.769552
0.00869838	0.00495246	0.00232735	-0.140812	0.969937	-0.198481	0.931951	0.0621999	-0.357211	0.334126	0.235273	0.912692
0.0780989	0.0261701	0.0141007	0.821935	-0.220747	0.525066	-0.527545	0.052534	0.847901	0.214755	0.973915	0.0732743
0.0851171	0.0712166	0.0327807	-0.578531	0.1766	0.796313	0.802105	0.300426	0.516113	-0.148087	0.937313	-0.315458
0.0181549	0.00964012	0.00390274	0.932536	0.304319	0.194335	-0.301218	0.952443	-0.0460531	-0.199107	-0.0155909	0.979854
0.0386023	0.00316056	0.0018832	0.893004	0.10181	0.438381	-0.365069	0.733511	0.573312	-0.263189	-0.67201	0.692196
0.0379113	0.0117438	0.00801667	-0.147599	0.988965	0.0127804	-0.406264	-0.0724045	0.910882	0.901756	0.129253	0.412468
0.00546325	0.0051757	0.00301614	-0.524631	0.433821	0.732504	0.637257	0.770652	0	0.564505	-0.466793	0.680763
0.00488681	0.00403817	0.00333752	0.678165	0.396176	0.61898	-0.442088	0.892739	-0.0870361	-0.587069	-0.214619	0.780569
0.20061	0.0280141	0.0178799	-0.28649	0.874036	-0.392408	0.293652	0.46997	0.832404	0.911972	0.123244	-0.391304
0.00732204	0.00409602	0.00317113	0.962043	0.271057	-0.0316416	-0.140419	0.5911	0.794281	-0.233999	0.75969	-0.606726
0.0165341	0.00836054	0.00225279	0.821863	-0.120419	0.556813	-0.354759	0.656577	0.665622	0.445744	0.744585	-0.496896
0.0296159	0.00775475	0.00229233	-0.528814	0.559264	-0.638419	0.756976	0.650973	-0.0567553	-0.383852	0.513281	0.767594
0.0414494	0.0221548	0.0119354	-0.56429	0.805559	-0.180698	0.824679	0.539809	-0.168849	0.0384752	0.244298	0.968937
0.0322586	0.0258722	0.0155288	0.849895	0.524619	-0.0495419	0.231666	-0.287544	0.929327	-0.473297	0.801308	0.365918
0.00925457	0.00691038	0.00447565	-0.165287	-0.318829	0.933289	-0.303359	0.916863	0.259492	0.938432	0.240231	0.248265
0.0379679	0.0243241	0.0073085	-0.163256	0.963068	0.214119	0.148285	-0.190613	0.970401	0.975376	0.190174	-0.11169
0.0469078	0.0155641	0.00710715	0.771195	-0.394693	0.499475	0.353245	0.918044	0.180038	-0.5296	0.0375921	0.847414
0.0143224	0.0101154	0.00646407	0.305178	-0.509366	0.804619	0.366287	0.842711	0.394553	0.879034	-0.174312	-0.443751
0.00728792	0.00500236	0.00262936	-0.431419	0.890291	0.145805	-0.277148	-0.284597	0.917711	0.858526	0.355508	0.369523
0.0409194	0.0201524	0.0157977	0.148277	0.422321	0.894237	0.608032	0.674202	-0.419225	0.779943	-0.605885	0.156816
0.185092	0.0685209	0.0223847	0.540725	0.81011	-0.226581	0.521575	-0.111551	0.845882	0.659982	-0.575568	-0.482851
